Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Distance,Duration_Minutes,Duration_Hours,Route_Type
51605,KMZ,KATNI MURWAR,CHRM,CHIRMIRI,256,480.0,8.0,Medium
51606,CHRM,CHIRMIRI,KMZ,KATNI MURWAR,253,495.0,8.25,Medium
51607,BINA,BINA,GUNA,GUNA,118,175.0,2.9166666666666665,Medium
51608,GUNA,GUNA,BINA,BINA,118,175.0,2.9166666666666665,Medium
51609,BINA,BINA,GUNA,GUNA,118,175.0,2.9166666666666665,Medium
51610,GUNA,GUNA,BINA,BINA,118,180.0,3.0,Medium
51611,KOTA,KOTA,BINA,BINA,303,530.0,8.833333333333334,Medium
51612,BINA,BINA,KOTA,KOTA,303,530.0,8.833333333333334,Medium
51671,ET,ITARSI,STA,SATNA,434,585.0,9.75,Medium
51672,STA,SATNA,ET,ITARSI,434,610.0,10.166666666666666,Medium
51673,ET,ITARSI,STA,SATNA,434,520.0,8.666666666666666,Medium
51674,STA,SATNA,ET,ITARSI,434,650.0,10.833333333333334,Medium
51675,KTE,KATNI,CPU,CHOPAN,316,545.0,9.083333333333334,Medium
51676,CPU,CHOPAN,KTE,KATNI,316,620.0,10.333333333333334,Medium
51678,SKTN,SHAKTINAGAR,CPU,CHOPAN,81,170.0,2.8333333333333335,Short
51679,KTE,KATNI,CPU,CHOPAN,316,595.0,9.916666666666666,Medium
51680,CPU,CHOPAN,KTE,KATNI,316,580.0,9.666666666666666,Medium
51685,KNW,KHANDWA JN.,BIR,BIR,32,50.0,0.8333333333333334,Short
51686,BIR,BIR,KNW,KHANDWA JN.,33,55.0,0.9166666666666666,Short
51687,KNW,KHANDWA JN.,BIR,BIR,32,55.0,0.9166666666666666,Short
51688,BIR,BIR,KNW,KHANDWA JN.,33,55.0,0.9166666666666666,Short
51701,JBP,JABALPUR,REWA,REWA,238,380.0,6.333333333333333,Medium
51702,REWA,REWA,JBP,JABALPUR,238,370.0,6.166666666666667,Medium
51703,JBP,JABALPUR,NIR,NAINPUR JN.,124,240.0,4.0,Medium
51704,NIR,NAINPUR JN.,MML,MADANMAHAL,121,215.0,3.5833333333333335,Medium
51705,MML,MADANMAHAL,NIR,NAINPUR JN.,121,235.0,3.9166666666666665,Medium
51706,NIR,NAINPUR JN.,MML,MADANMAHAL,121,225.0,3.75,Medium
51708,NIR,NAINPUR JN.,JBP,JABALPUR,124,250.0,4.166666666666667,Medium
51753,REWA,REWA,CHRM,CHIRMIRI,401,690.0,11.5,Medium
51754,CHRM,CHIRMIRI,REWA,REWA,403,820.0,13.666666666666666,Medium
51755,CHRM,CHIRMIRI,APR,ANUPPUR JN.,86,175.0,2.9166666666666665,Short
51756,APR,ANUPPUR JN.,CHRM,CHIRMIRI,86,195.0,3.25,Short
51763,STA,SATNA,MKP,MANIKPUR JN.,77,125.0,2.0833333333333335,Short
51764,MKP,MANIKPUR JN.,STA,SATNA,77,165.0,2.75,Short
51765,STA,SATNA,MKP,MANIKPUR JN.,77,185.0,3.0833333333333335,Short
51766,MKP,MANIKPUR JN.,STA,SATNA,77,120.0,2.0,Short
51803,JHS,JHANSI JN,CNB,KANPUR CENTR,221,375.0,6.25,Medium
51804,CNB,KANPUR CENTR,JHS,JHANSI JN,221,380.0,6.333333333333333,Medium
51805,JHS,JHANSI JN,MKP,MANIKPUR JN.,291,425.0,7.083333333333333,Medium
51806,MKP,MANIKPUR JN.,JHS,JHANSI JN,291,465.0,7.75,Medium
51807,JHS,JHANSI JN,BNDA,BANDA JN,191,260.0,4.333333333333333,Medium
51811,BINA,BINA,JHS,JHANSI JN,151,235.0,3.9166666666666665,Medium
51812,JHS,JHANSI JN,BINA,BINA,151,250.0,4.166666666666667,Medium
51813,JHS,JHANSI JN,LKO,LUCKNOW JN.,295,515.0,8.583333333333334,Medium
51814,LKO,LUCKNOW JN.,JHS,JHANSI JN,295,470.0,7.833333333333333,Medium
51815,JHS,JHANSI JN,AGC,AGRA CANTT,204,310.0,5.166666666666667,Medium
51816,AGC,AGRA CANTT,JHS,JHANSI JN,204,330.0,5.5,Medium
51817,KURJ,KHAJAURAHO,JHS,JHANSI JN,254,500.0,8.333333333333334,Medium
51818,JHS,JHANSI JN,KURJ,KHAJAURAHO,254,435.0,7.25,Medium
51821,MBA,MAHOBA,KURJ,KHAJAURAHO,63,75.0,1.25,Short
51822,KURJ,KHAJAURAHO,MBA,MAHOBA,63,75.0,1.25,Short
51827,ET,ITARSI,JHS,JHANSI JN,381,940.0,15.666666666666666,Medium
51828,JHS,JHANSI JN,ET,ITARSI,381,1030.0,17.166666666666668,Medium
51829,NGP,NAGPUR JN.(C,ET,ITARSI,297,585.0,9.75,Medium
51830,ET,ITARSI,NGP,NAGPUR JN.(C,297,515.0,8.583333333333334,Medium
51831,JHS,JHANSI JN,AGC,AGRA CANTT,204,460.0,7.666666666666667,Medium
51832,AGC,AGRA CANTT,JHS,JHANSI JN,204,305.0,5.083333333333333,Medium
51861,AIT,AIT JN,KNH,KONCH,13,35.0,0.5833333333333334,Short
51862,KNH,KONCH,AIT,AIT JN,13,35.0,0.5833333333333334,Short
51863,AIT,AIT JN,KNH,KONCH,13,35.0,0.5833333333333334,Short
51864,KNH,KONCH,AIT,AIT JN,13,35.0,0.5833333333333334,Short
51865,AIT,AIT JN,KNH,KONCH,13,35.0,0.5833333333333334,Short
51866,KNH,KONCH,AIT,AIT JN,13,35.0,0.5833333333333334,Short
51867,AIT,AIT JN,KNH,KONCH,13,35.0,0.5833333333333334,Short
51868,KNH,KONCH,AIT,AIT JN,13,35.0,0.5833333333333334,Short
51869,AIT,AIT JN,KNH,KONCH,13,35.0,0.5833333333333334,Short
51870,KNH,KONCH,AIT,AIT JN,13,35.0,0.5833333333333334,Short
51881,GWL,GWALIOR JN,AGC,AGRA CANTT,107,200.0,3.3333333333333335,Medium
51882,AGC,AGRA CANTT,GWL,GWALIOR JN,107,160.0,2.6666666666666665,Medium
51883,BINA,BINA,GWL,GWALIOR JN,345,630.0,10.5,Medium
51884,GWL,GWALIOR JN,BINA,BINA,345,555.0,9.25,Medium
51885,BINA,BINA,DMO,DAMOH,152,230.0,3.8333333333333335,Medium
